"Year","Country","geo","Indicator","Enterprise Size","Activity","Unit","Value","Flags","Note"
"2023A00","Belgium","BE","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",32.735,NA,NA
"2023A00","Portugal","PT","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",32.874,NA,NA
"2023A00","Belgium","BE","Enterprises with high digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",32.8767,NA,NA
"2023A00","Austria","AT","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.0492,NA,NA
"2023A00","Ireland","IE","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.0821,NA,NA
"2023A00","Spain","ES","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.1348,NA,NA
"2023A00","Sweden","SE","Enterprises with high digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.2045,"b",NA
"2023A00","European Union - 27 countries (from 2020)","EU27_2020","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.4744,NA,"FR: break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Malta","MT","Enterprises with high digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",33.8633,NA,NA
"2023A00","France","FR","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",34.0719,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Finland","FI","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",34.1513,NA,NA
"2023A00","Estonia","EE","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",34.3697,NA,NA
"2023A00","Luxembourg","LU","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",34.3861,NA,NA
"2023A00","Ireland","IE","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",35.113,NA,NA
"2023A00","Germany","DE","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",35.2306,NA,NA
"2023A00","Netherlands","NL","Enterprises with high digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",36.6455,NA,NA
"2023A00","Cyprus","CY","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",37.3334,NA,NA
"2023A00","Germany","DE","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",37.5965,NA,NA
"2023A00","Denmark","DK","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",37.6725,NA,NA
"2023A00","Lithuania","LT","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",38.0778,NA,NA
"2023A00","Spain","ES","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",38.5251,NA,NA
"2023A00","Italy","IT","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",38.73,NA,NA
"2023A00","Finland","FI","Enterprises with high digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",38.8752,NA,NA
"2023A00","Italy","IT","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",39.0342,NA,NA
"2023A00","Lithuania","LT","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",39.0785,NA,NA
"2023A00","Sweden","SE","Enterprises with low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",39.4152,"b",NA
"2023A00","Luxembourg","LU","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",40.9651,NA,NA
"2023A00","Austria","AT","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",40.9855,NA,NA
"2023A00","European Union - 27 countries (from 2020)","EU27_2020","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",41.2835,NA,"FR: break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Croatia","HR","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",43.0351,NA,NA
"2023A00","Estonia","EE","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",43.1167,NA,NA
"2023A00","Greece","EL","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",43.8233,NA,NA
"2023A00","Slovakia","SK","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",43.8845,NA,NA
"2023A00","Portugal","PT","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",45.5494,NA,NA
"2023A00","Hungary","HU","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",45.7862,NA,NA
"2023A00","France","FR","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",46.9395,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Slovenia","SI","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",48.3763,NA,NA
"2023A00","Poland","PL","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",48.4034,NA,NA
"2023A00","Czechia","CZ","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",49.0777,NA,NA
"2023A00","Latvia","LV","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",49.2121,NA,NA
"2023A00","Latvia","LV","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",50.7879,NA,NA
"2023A00","Czechia","CZ","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",50.9223,NA,NA
"2023A00","Poland","PL","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",51.5966,NA,NA
"2023A00","Slovenia","SI","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",51.6237,NA,NA
"2023A00","France","FR","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",53.0605,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Hungary","HU","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",54.2138,NA,NA
"2023A00","Portugal","PT","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",54.4506,NA,NA
"2023A00","Slovakia","SK","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",56.1155,NA,NA
"2023A00","Greece","EL","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",56.1767,NA,NA
"2023A00","Estonia","EE","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",56.8833,NA,NA
"2023A00","Croatia","HR","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",56.9649,NA,NA
"2023A00","European Union - 27 countries (from 2020)","EU27_2020","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",58.7164,NA,"FR: break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Austria","AT","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",59.0145,NA,NA
"2023A00","Luxembourg","LU","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",59.0351,NA,NA
"2023A00","Lithuania","LT","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",60.9215,NA,NA
"2023A00","Italy","IT","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",61.27,NA,NA
"2023A00","Spain","ES","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",61.4749,NA,NA
"2023A00","Germany","DE","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",62.4032,NA,NA
"2023A00","Ireland","IE","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",66.9179,NA,NA
"2023A00","Cyprus","CY","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",67.8718,NA,NA
"2023A00","Bulgaria","BG","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",70.641,NA,NA
"2023A00","Romania","RO","Enterprises with very low digital intensity index (DII version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",72.0706,NA,NA
"2023A00","Belgium","BE","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",75.2777,NA,NA
"2023A00","Denmark","DK","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",75.9522,NA,NA
"2023A00","Malta","MT","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",76.9143,NA,NA
"2023A00","Netherlands","NL","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",79.0752,NA,NA
"2023A00","Sweden","SE","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",80.5196,"b",NA
"2023A00","Finland","FI","Enterprises with at least low (basic) digital intensity index (DII Version 3)","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",86.0447,NA,NA
