"Year","Country","Region","Indicator","Geo","EnterpriseSize","Activity","Unit","Value","Flags","Note"
"2023A00","Hungary","DÃ©l-DunÃ¡ntÃºl","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU23","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.1163,NA,NA
"2023A00","Romania","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.1429,NA,NA
"2023A00","Hungary","DunÃ¡ntÃºl","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.2242,NA,NA
"2023A00","Romania","Sud-Vest Oltenia","Buy cloud computing services used over the internet","RO41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.41,NA,NA
"2023A00","Hungary","DÃ©l-AlfÃ¶ld","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU33","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.5562,NA,NA
"2023A00","Romania","Bucuresti - Ilfov","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","RO32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.6076,NA,NA
"2023A00","Bulgaria","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.6239,NA,NA
"2023A00","Poland","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.6696,NA,NA
"2023A00","Hungary","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.681,NA,NA
"2023A00","Romania","Sud-Vest Oltenia","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.8044,NA,NA
"2023A00","Poland","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.8662,NA,NA
"2023A00","Hungary","KÃ¶zÃ©p-DunÃ¡ntÃºl","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.9547,NA,NA
"2023A00","Greece","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",3.9818,NA,NA
"2023A00","Spain","Ciudad de Ceuta","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES63","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.2369,NA,NA
"2023A00","Slovakia","VÃ½chodnÃ© Slovensko","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SK04","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.4676,NA,NA
"2023A00","Spain","Ciudad de Melilla","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES64","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.4811,NA,NA
"2023A00","Croatia","Sjeverna Hrvatska","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HR06","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.4912,NA,NA
"2023A00","Latvia","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.5276,NA,NA
"2023A00","Hungary","KÃ¶zÃ©p-MagyarorszÃ¡g","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.5383,NA,NA
"2023A00","Romania","Sud-Est","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.5538,NA,NA
"2023A00","Cyprus","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.6663,NA,NA
"2023A00","Lithuania","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",4.8615,NA,NA
"2023A00","Italy","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.0451,NA,NA
"2023A00","Romania","Sud-Est","Buy cloud computing services used over the internet","RO22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.0477,NA,NA
"2023A00","Spain","Illes Balears","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES53","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.1289,NA,NA
"2023A00","Estonia","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.1921,NA,NA
"2023A00","Luxembourg","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.4983,NA,NA
"2023A00","Hungary","Budapest","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HU11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.5309,NA,NA
"2023A00","Croatia","Jadranska Hrvatska","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HR03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.7032,NA,NA
"2023A00","Romania","Sud - Muntenia","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.706,NA,NA
"2023A00","Spain","Extremadura","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES43","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.8663,NA,NA
"2023A00","France","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.8845,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Czechia","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.8987,NA,NA
"2023A00","Spain","Canarias","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES70","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.9058,NA,NA
"2023A00","Spain","Canarias","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES7","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.9058,NA,NA
"2023A00","Romania","Macroregiunea patru","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",5.969,NA,NA
"2023A00","Romania","Macroregiunea doi","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.0465,NA,NA
"2023A00","Slovakia","StrednÃ© Slovensko","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SK03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.0619,NA,NA
"2023A00","Slovakia","ZÃ¡padnÃ© Slovensko","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SK02","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.2329,NA,NA
"2023A00","Spain","Ciudad de Melilla","Buy cloud computing services used over the internet","ES64","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.2925,NA,NA
"2023A00","Spain","Castilla-la Mancha","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.3247,NA,NA
"2023A00","Spain","Cantabria","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES13","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.3771,NA,NA
"2023A00","Spain","RegiÃ³n de Murcia","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES62","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",6.3833,NA,NA
"2023A00","Slovakia","Slovensko","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SK0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.037,NA,NA
"2023A00","Slovakia","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.037,NA,NA
"2023A00","Spain","Galicia","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.2432,NA,NA
"2023A00","Spain","Centro (ES)","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.3097,NA,NA
"2023A00","Slovenia","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.5117,NA,NA
"2023A00","Romania","Macroregiunea patru","Buy cloud computing services used over the internet","RO4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.5143,NA,NA
"2023A00","Spain","Sur (ES)","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES6","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.5204,NA,NA
"2023A00","Romania","Nord-Est","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.6146,NA,NA
"2023A00","Romania","Sud-Vest Oltenia","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.7003,NA,NA
"2023A00","Romania","Centru","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.7821,NA,NA
"2023A00","Spain","AndalucÃ­a","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES61","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.8199,NA,NA
"2023A00","Portugal","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.8607,NA,NA
"2023A00","Romania","Vest","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.8709,NA,NA
"2023A00","Croatia","Hrvatska","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HR0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.8914,NA,NA
"2023A00","Croatia","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.8914,NA,NA
"2023A00","Austria","NiederÃ¶sterreich","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",7.9585,NA,NA
"2023A00","Ireland","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.014,NA,NA
"2023A00","European Union - 27 countries (from 2020)","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.0303,NA,"FR: break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Austria","Tirol","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT33","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.0988,NA,NA
"2023A00","Spain","AragÃ³n","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES24","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.147,NA,NA
"2023A00","Austria","KÃ¤rnten","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.2121,NA,NA
"2023A00","Italy","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.2931,NA,NA
"2023A00","Cyprus","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.3003,NA,NA
"2023A00","Spain","Comunitat Valenciana","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES52","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.3493,NA,NA
"2023A00","Spain","Noroeste (ES)","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.373,NA,NA
"2023A00","Austria","SÃ¼dÃ¶sterreich","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.58,NA,NA
"2023A00","Portugal","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.6434,NA,NA
"2023A00","Romania","Sud-Est","Enterprises who have ERP software package to share information between different functional areas","RO22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.6628,NA,NA
"2023A00","Bulgaria","Severozapaden","Buy cloud computing services used over the internet","BG31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.7021,NA,NA
"2023A00","Austria","Steiermark","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.7354,NA,NA
"2023A00","Romania","Macroregiunea unu","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.7692,NA,NA
"2023A00","Romania","Sud - Muntenia","Buy cloud computing services used over the internet","RO31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.8185,NA,NA
"2023A00","Spain","Castilla y LeÃ³n","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.8472,NA,NA
"2023A00","France","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.8702,NA,NA
"2023A00","Spain","Comunidad Foral de Navarra","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.8728,NA,NA
"2023A00","Croatia","Panonska Hrvatska","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","HR02","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",8.9744,NA,NA
"2023A00","Spain","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.1786,NA,NA
"2023A00","Luxembourg","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.3837,NA,NA
"2023A00","Spain","Este (ES)","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES5","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.4001,NA,NA
"2023A00","Slovakia","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.4015,NA,NA
"2023A00","Romania","Macroregiunea doi","Buy cloud computing services used over the internet","RO2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.4335,NA,NA
"2023A00","Slovenia","Vzhodna Slovenija","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SI03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.4667,NA,NA
"2023A00","Romania","Nord-Vest","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.587,NA,NA
"2023A00","Estonia","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",9.7998,NA,NA
"2023A00","Bulgaria","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.0029,NA,NA
"2023A00","Romania","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.0726,NA,NA
"2023A00","Bulgaria","Severen tsentralen","Buy cloud computing services used over the internet","BG32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.2457,NA,NA
"2023A00","Sweden","Not applicable","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.3737,"b",NA
"2023A00","Romania","Sud-Vest Oltenia","Enterprises who have ERP software package to share information between different functional areas","RO41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.4593,NA,NA
"2023A00","Bulgaria","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.5475,NA,NA
"2023A00","Bulgaria","Yugoiztochen","Buy cloud computing services used over the internet","BG34","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.5976,NA,NA
"2023A00","European Union - 27 countries (from 2020)","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.6125,NA,NA
"2023A00","Austria","WestÃ¶sterreich","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.6207,NA,NA
"2023A00","Slovakia","BratislavskÃ½ kraj","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","SK01","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.6695,NA,NA
"2023A00","Spain","CataluÃ±a","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","ES51","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.6958,NA,NA
"2023A00","Germany","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",10.6993,NA,NA
